timestep_4,technology_2,technology_3,parameter,value
h0447,offshore,offshore_a,avaConv,0.522078277
h0448,offshore,offshore_a,avaConv,0.57739926
h0449,offshore,offshore_a,avaConv,0.54693262
h0450,offshore,offshore_a,avaConv,0.525937789
h0451,offshore,offshore_a,avaConv,0.554729506
h0452,offshore,offshore_a,avaConv,0.543575066
h0453,offshore,offshore_a,avaConv,0.473550049
h0454,offshore,offshore_a,avaConv,0.427298283
h0455,offshore,offshore_a,avaConv,0.474745286
h0456,offshore,offshore_a,avaConv,0.418078689
h0457,offshore,offshore_a,avaConv,0.436138367
h0458,offshore,offshore_a,avaConv,0.411125358
h0459,offshore,offshore_a,avaConv,0.384563037
h0460,offshore,offshore_a,avaConv,0.414951582
h0461,offshore,offshore_a,avaConv,0.365881623
h0462,offshore,offshore_a,avaConv,0.405007876
h0463,offshore,offshore_a,avaConv,0.432113236
h0464,offshore,offshore_a,avaConv,0.394947934
h0465,offshore,offshore_a,avaConv,0.394145969
h0466,offshore,offshore_a,avaConv,0.32048632
h0467,offshore,offshore_a,avaConv,0.283885783
h0468,offshore,offshore_a,avaConv,0.239357526
h0469,offshore,offshore_a,avaConv,0.210357284
h0470,offshore,offshore_a,avaConv,0.219430346
h0471,offshore,offshore_a,avaConv,0.207382387
h0472,offshore,offshore_a,avaConv,0.204796904
h0473,offshore,offshore_a,avaConv,0.194715959
h0474,offshore,offshore_a,avaConv,0.180926224
h0475,offshore,offshore_a,avaConv,0.181360015
h0476,offshore,offshore_a,avaConv,0.176414589
h0477,offshore,offshore_a,avaConv,0.164964165
h0478,offshore,offshore_a,avaConv,0.109135742
h0479,offshore,offshore_a,avaConv,0.113319835
h0480,offshore,offshore_a,avaConv,0.121827046
h0481,offshore,offshore_a,avaConv,0.125117606
h0482,offshore,offshore_a,avaConv,0.120078289
h0483,offshore,offshore_a,avaConv,0.110781845
h0484,offshore,offshore_a,avaConv,0.111146081
h0485,offshore,offshore_a,avaConv,0.12494544
h0486,offshore,offshore_a,avaConv,0.162385836
h0487,offshore,offshore_a,avaConv,0.193315962
h0488,offshore,offshore_a,avaConv,0.245283874
h0489,offshore,offshore_a,avaConv,0.282010233
h0490,offshore,offshore_a,avaConv,0.316717249
h0491,offshore,offshore_a,avaConv,0.393242841
h0492,offshore,offshore_a,avaConv,0.381615323
h0493,offshore,offshore_a,avaConv,0.392640213
h0494,offshore,offshore_a,avaConv,0.372088955
h0495,offshore,offshore_a,avaConv,0.350034939
h0496,offshore,offshore_a,avaConv,0.343323161
h0497,offshore,offshore_a,avaConv,0.364217965
h0498,offshore,offshore_a,avaConv,0.414364015
h0499,offshore,offshore_a,avaConv,0.418273767
h0500,offshore,offshore_a,avaConv,0.45197384
h0501,offshore,offshore_a,avaConv,0.447165913
h0502,offshore,offshore_a,avaConv,0.470786374
h0503,offshore,offshore_a,avaConv,0.517587883
h0504,offshore,offshore_a,avaConv,0.526725593
h0505,offshore,offshore_a,avaConv,0.518293468
h0506,offshore,offshore_a,avaConv,0.515380007
h0507,offshore,offshore_a,avaConv,0.504630179
h0508,offshore,offshore_a,avaConv,0.512015481
h0509,offshore,offshore_a,avaConv,0.521375106
h0510,offshore,offshore_a,avaConv,0.544092246
h0511,offshore,offshore_a,avaConv,0.573033788
h0512,offshore,offshore_a,avaConv,0.622909259
h0513,offshore,offshore_a,avaConv,0.673233465
h0514,offshore,offshore_a,avaConv,0.682790831
h0515,offshore,offshore_a,avaConv,0.704774722
h0516,offshore,offshore_a,avaConv,0.715040083
h0517,offshore,offshore_a,avaConv,0.73850406
h0518,offshore,offshore_a,avaConv,0.754544607
h0519,offshore,offshore_a,avaConv,0.772912134
h0520,offshore,offshore_a,avaConv,0.794108883
h0521,offshore,offshore_a,avaConv,0.815826328
h0522,offshore,offshore_a,avaConv,0.833189551
h0523,offshore,offshore_a,avaConv,0.839735977
h0524,offshore,offshore_a,avaConv,0.828387566
h0525,offshore,offshore_a,avaConv,0.819312791
