technology_1,technology_2,region_2,parameter,value
photovoltaik,RES_PV_Utility_Inf,UK,capaConvResi,2.96E-06
photovoltaik,RES_PV_Utility_Inf,GR,capaConvResi,3.17176141
photovoltaik,RES_PV_Utility_Inf,PT,capaConvResi,8.180931252
photovoltaik,RES_PV_Utility_Inf,ES,capaConvResi,78.99999219
photovoltaik,RES_PV_Utility_Inf,IT,capaConvResi,49.39990612
photovoltaik,RES_PV_Utility_Inf,PL,capaConvResi,4.45E-05
photovoltaik,RES_PV_Utility_Inf,NO,capaConvResi,1.45E-07
photovoltaik,RES_PV_Utility_Inf,FI,capaConvResi,6.93E-07
photovoltaik,RES_PV_Utility_Inf,SE,capaConvResi,2.93E-06
photovoltaik,RES_PV_Utility_Inf,DK,capaConvResi,3.48E-06
photovoltaik,RES_PV_Utility_Inf,CH,capaConvResi,6.233333272
wind_onshore,RES_Wind_Onshore_Opt,AT,capaConvResi,15.26666652
wind_onshore,RES_Wind_Onshore_Opt,NONEU_Balkan,capaConvResi,46.98519745
wind_onshore,RES_Wind_Onshore_Opt,EE,capaConvResi,5.266666657
wind_onshore,RES_Wind_Onshore_Opt,LT,capaConvResi,12.5333333
wind_onshore,RES_Wind_Onshore_Opt,LV,capaConvResi,3.054794467
wind_onshore,RES_Wind_Onshore_Opt,NL,capaConvResi,7.866666668
wind_onshore,RES_Wind_Onshore_Opt,BE,capaConvResi,5.9
wind_onshore,RES_Wind_Onshore_Opt,CZ,capaConvResi,18.69999992
wind_onshore,RES_Wind_Onshore_Opt,HU,capaConvResi,22.73333331
wind_onshore,RES_Wind_Onshore_Opt,SK,capaConvResi,9.01E-06
wind_onshore,RES_Wind_Onshore_Opt,HR,capaConvResi,1.37E-05
wind_onshore,RES_Wind_Onshore_Opt,SI,capaConvResi,2.766666626
wind_onshore,RES_Wind_Onshore_Opt,BG,capaConvResi,22.83333321
wind_onshore,RES_Wind_Onshore_Opt,RO,capaConvResi,60.99999998
wind_onshore,RES_Wind_Onshore_Opt,TR,capaConvResi,77.79999777
wind_onshore,RES_Wind_Onshore_Opt,FR,capaConvResi,127.2333333
wind_onshore,RES_Wind_Onshore_Opt,LU,capaConvResi,0.566666665
wind_onshore,RES_Wind_Onshore_Opt,IE,capaConvResi,18.76666622
wind_onshore,RES_Wind_Onshore_Opt,UK,capaConvResi,70.83333333
wind_onshore,RES_Wind_Onshore_Opt,GR,capaConvResi,35.19999981
wind_onshore,RES_Wind_Onshore_Opt,PT,capaConvResi,17
wind_onshore,RES_Wind_Onshore_Opt,ES,capaConvResi,122.3
wind_onshore,RES_Wind_Onshore_Opt,IT,capaConvResi,63.39999998
wind_onshore,RES_Wind_Onshore_Opt,PL,capaConvResi,64.63333321
wind_onshore,RES_Wind_Onshore_Opt,NO,capaConvResi,10.73333333
wind_onshore,RES_Wind_Onshore_Opt,FI,capaConvResi,23.93333327
wind_onshore,RES_Wind_Onshore_Opt,SE,capaConvResi,31.13333333
wind_onshore,RES_Wind_Onshore_Opt,DK,capaConvResi,10.86666667
wind_onshore,RES_Wind_Onshore_Opt,CH,capaConvResi,6.933332676
X_Fuel_Cell,,AT,capaConvResi,4.45E-05
X_Fuel_Cell,,NONEU_Balkan,capaConvResi,4.18E-05
X_Fuel_Cell,,EE,capaConvResi,4.42E-05
X_Fuel_Cell,,LT,capaConvResi,4.83E-05
