timestep_superordinate_expansion,timestep_superordinate_dispatch,timestep_dispatch,region_dispatch,carrier,technology,M,scr,variable
none,2050,2050 < d271,DE,gas < hydrogen,gasStorage,none,none,97381.87708374247
none,2050,2050 < d272,DE,gas < hydrogen,gasStorage,none,none,98257.03309387511
none,2050,2050 < d273,DE,gas < hydrogen,gasStorage,none,none,98714.73360472893
none,2050,2050 < d274,DE,gas < hydrogen,gasStorage,none,none,98910.86721215109
none,2050,2050 < d275,DE,gas < hydrogen,gasStorage,none,none,98654.94131907681
none,2050,2050 < d276,DE,gas < hydrogen,gasStorage,none,none,98580.01038320207
none,2050,2050 < d277,DE,gas < hydrogen,gasStorage,none,none,98579.99081248957
none,2050,2050 < d278,DE,gas < hydrogen,gasStorage,none,none,98910.80340140722
none,2050,2050 < d279,DE,gas < hydrogen,gasStorage,none,none,98910.81166164558
none,2050,2050 < d280,DE,gas < hydrogen,gasStorage,none,none,98581.36458996202
none,2050,2050 < d281,DE,gas < hydrogen,gasStorage,none,none,98097.06107606644
none,2050,2050 < d282,DE,gas < hydrogen,gasStorage,none,none,96595.53654093863
none,2050,2050 < d283,DE,gas < hydrogen,gasStorage,none,none,94990.93547398873
none,2050,2050 < d284,DE,gas < hydrogen,gasStorage,none,none,93839.03832932666
none,2050,2050 < d285,DE,gas < hydrogen,gasStorage,none,none,93634.28765703208
none,2050,2050 < d286,DE,gas < hydrogen,gasStorage,none,none,93897.18531926931
none,2050,2050 < d287,DE,gas < hydrogen,gasStorage,none,none,93897.21716951081
none,2050,2050 < d288,DE,gas < hydrogen,gasStorage,none,none,93597.32593796792
none,2050,2050 < d289,DE,gas < hydrogen,gasStorage,none,none,93381.05628180483
none,2050,2050 < d290,DE,gas < hydrogen,gasStorage,none,none,93010.72083326093
none,2050,2050 < d291,DE,gas < hydrogen,gasStorage,none,none,92509.8006398046
none,2050,2050 < d292,DE,gas < hydrogen,gasStorage,none,none,92388.01045683777
none,2050,2050 < d293,DE,gas < hydrogen,gasStorage,none,none,91607.89093723119
none,2050,2050 < d294,DE,gas < hydrogen,gasStorage,none,none,90894.4962651852
none,2050,2050 < d295,DE,gas < hydrogen,gasStorage,none,none,89908.84733806942
none,2050,2050 < d296,DE,gas < hydrogen,gasStorage,none,none,89061.83421892422
none,2050,2050 < d297,DE,gas < hydrogen,gasStorage,none,none,87937.2096114812
none,2050,2050 < d298,DE,gas < hydrogen,gasStorage,none,none,86601.40744468053
none,2050,2050 < d299,DE,gas < hydrogen,gasStorage,none,none,84996.83775932257
none,2050,2050 < d300,DE,gas < hydrogen,gasStorage,none,none,84656.65043065713
none,2050,2050 < d301,DE,gas < hydrogen,gasStorage,none,none,84706.19710292651
none,2050,2050 < d302,DE,gas < hydrogen,gasStorage,none,none,84692.24495092488
none,2050,2050 < d303,DE,gas < hydrogen,gasStorage,none,none,84016.55558224031
none,2050,2050 < d304,DE,gas < hydrogen,gasStorage,none,none,82411.9713291317
none,2050,2050 < d305,DE,gas < hydrogen,gasStorage,none,none,81331.3726539015
none,2050,2050 < d306,DE,gas < hydrogen,gasStorage,none,none,81443.32523062859
none,2050,2050 < d307,DE,gas < hydrogen,gasStorage,none,none,80859.3441534163
none,2050,2050 < d308,DE,gas < hydrogen,gasStorage,none,none,80143.44330733879
none,2050,2050 < d309,DE,gas < hydrogen,gasStorage,none,none,79427.50849186826
none,2050,2050 < d310,DE,gas < hydrogen,gasStorage,none,none,78687.62665502951
none,2050,2050 < d311,DE,gas < hydrogen,gasStorage,none,none,77715.52463075503
none,2050,2050 < d312,DE,gas < hydrogen,gasStorage,none,none,76725.36259166854
none,2050,2050 < d313,DE,gas < hydrogen,gasStorage,none,none,75939.89147628933
none,2050,2050 < d314,DE,gas < hydrogen,gasStorage,none,none,75070.90419874125
none,2050,2050 < d315,DE,gas < hydrogen,gasStorage,none,none,74077.90773945196
none,2050,2050 < d316,DE,gas < hydrogen,gasStorage,none,none,72677.69896159603
none,2050,2050 < d317,DE,gas < hydrogen,gasStorage,none,none,71747.95902031969
none,2050,2050 < d318,DE,gas < hydrogen,gasStorage,none,none,71015.4275753161
none,2050,2050 < d319,DE,gas < hydrogen,gasStorage,none,none,70532.4952130035
none,2050,2050 < d320,DE,gas < hydrogen,gasStorage,none,none,70506.62094151763
none,2050,2050 < d321,DE,gas < hydrogen,gasStorage,none,none,70535.21841477377
none,2050,2050 < d322,DE,gas < hydrogen,gasStorage,none,none,70785.468342036
none,2050,2050 < d323,DE,gas < hydrogen,gasStorage,none,none,70693.53915725433
none,2050,2050 < d324,DE,gas < hydrogen,gasStorage,none,none,71167.78863733658
none,2050,2050 < d325,DE,gas < hydrogen,gasStorage,none,none,71146.72154961484
none,2050,2050 < d326,DE,gas < hydrogen,gasStorage,none,none,70418.11710475091
