region_2,technology_1,technology_2,parameter,value
DEE0,wind_offshore,offshore_a,capaConvUp,0
DEF0,wind_offshore,offshore_a,capaConvUp,15.65217391
DEG0,wind_offshore,offshore_a,capaConvUp,0
DE92,wind_offshore,offshore_a,capaConvUp,0
DE93,wind_offshore,offshore_a,capaConvUp,0
DEA2,wind_offshore,offshore_a,capaConvUp,0
DEB1,wind_offshore,offshore_a,capaConvUp,0
DEC0_,wind_offshore,offshore_a,capaConvUp,0
DEA3,wind_offshore,offshore_a,capaConvUp,0
DEB2,wind_offshore,offshore_a,capaConvUp,0
DE21,wind_offshore,offshore_a,capaConvUp,0
DE22,wind_offshore,offshore_a,capaConvUp,0
DE23,wind_offshore,offshore_a,capaConvUp,0
DE25,wind_offshore,offshore_a,capaConvUp,0
DE26,wind_offshore,offshore_a,capaConvUp,0
DE40,wind_offshore,offshore_a,capaConvUp,0
DE50,wind_offshore,offshore_a,capaConvUp,0
DE60,wind_offshore,offshore_a,capaConvUp,0
DE71,wind_offshore,offshore_a,capaConvUp,0
DE72,wind_offshore,offshore_a,capaConvUp,0
DE73,wind_offshore,offshore_a,capaConvUp,0
DE80,wind_offshore,offshore_a,capaConvUp,6.554347826
DE91,wind_offshore,offshore_a,capaConvUp,0
DE13,wind_offshore,offshore_a,capaConvUp,0
DE24,wind_offshore,offshore_a,capaConvUp,0
DE27,wind_offshore,offshore_a,capaConvUp,0
DE14,wind_offshore,offshore_a,capaConvUp,0
DE30,wind_offshore,offshore_a,capaConvUp,0
DE12,wind_offshore,offshore_b,capaConvUp,0
DE94,wind_offshore,offshore_b,capaConvUp,0.989130435
DEA1,wind_offshore,offshore_b,capaConvUp,0
DEA4,wind_offshore,offshore_b,capaConvUp,0
DEA5,wind_offshore,offshore_b,capaConvUp,0
DEB3,wind_offshore,offshore_b,capaConvUp,0
DED2,wind_offshore,offshore_b,capaConvUp,0
DED4,wind_offshore,offshore_b,capaConvUp,0
DED5,wind_offshore,offshore_b,capaConvUp,0
DEE0,wind_offshore,offshore_b,capaConvUp,0
DEF0,wind_offshore,offshore_b,capaConvUp,3.130434783
DEG0,wind_offshore,offshore_b,capaConvUp,0
DE92,wind_offshore,offshore_b,capaConvUp,0
DE93,wind_offshore,offshore_b,capaConvUp,0
DEA2,wind_offshore,offshore_b,capaConvUp,0
DEB1,wind_offshore,offshore_b,capaConvUp,0
DEC0_,wind_offshore,offshore_b,capaConvUp,0
DEA3,wind_offshore,offshore_b,capaConvUp,0
DEB2,wind_offshore,offshore_b,capaConvUp,0
DE21,wind_offshore,offshore_b,capaConvUp,0
DE22,wind_offshore,offshore_b,capaConvUp,0
DE23,wind_offshore,offshore_b,capaConvUp,0
DE25,wind_offshore,offshore_b,capaConvUp,0
DE26,wind_offshore,offshore_b,capaConvUp,0
DE40,wind_offshore,offshore_b,capaConvUp,0
DE50,wind_offshore,offshore_b,capaConvUp,0
DE60,wind_offshore,offshore_b,capaConvUp,0
DE71,wind_offshore,offshore_b,capaConvUp,0
DE72,wind_offshore,offshore_b,capaConvUp,0
DE73,wind_offshore,offshore_b,capaConvUp,0
DE80,wind_offshore,offshore_b,capaConvUp,1.304347826
DE91,wind_offshore,offshore_b,capaConvUp,0
DE13,wind_offshore,offshore_b,capaConvUp,0
DE24,wind_offshore,offshore_b,capaConvUp,0
DE27,wind_offshore,offshore_b,capaConvUp,0
DE14,wind_offshore,offshore_b,capaConvUp,0
DE30,wind_offshore,offshore_b,capaConvUp,0
DE12,wind_offshore,offshore_c,capaConvUp,0
DE94,wind_offshore,offshore_c,capaConvUp,0.989130435
DEA1,wind_offshore,offshore_c,capaConvUp,0
DEA4,wind_offshore,offshore_c,capaConvUp,0
DEA5,wind_offshore,offshore_c,capaConvUp,0
DEB3,wind_offshore,offshore_c,capaConvUp,0
DED2,wind_offshore,offshore_c,capaConvUp,0
DED4,wind_offshore,offshore_c,capaConvUp,0
DED5,wind_offshore,offshore_c,capaConvUp,0
DEE0,wind_offshore,offshore_c,capaConvUp,0
DEF0,wind_offshore,offshore_c,capaConvUp,3.130434783
DEG0,wind_offshore,offshore_c,capaConvUp,0
DE92,wind_offshore,offshore_c,capaConvUp,0
DE93,wind_offshore,offshore_c,capaConvUp,0
DEA2,wind_offshore,offshore_c,capaConvUp,0
DEB1,wind_offshore,offshore_c,capaConvUp,0
DEC0_,wind_offshore,offshore_c,capaConvUp,0
DEA3,wind_offshore,offshore_c,capaConvUp,0
DEB2,wind_offshore,offshore_c,capaConvUp,0
DE21,wind_offshore,offshore_c,capaConvUp,0
DE22,wind_offshore,offshore_c,capaConvUp,0
DE23,wind_offshore,offshore_c,capaConvUp,0
DE25,wind_offshore,offshore_c,capaConvUp,0
DE26,wind_offshore,offshore_c,capaConvUp,0
DE40,wind_offshore,offshore_c,capaConvUp,0
DE50,wind_offshore,offshore_c,capaConvUp,0
DE60,wind_offshore,offshore_c,capaConvUp,0
DE71,wind_offshore,offshore_c,capaConvUp,0
DE72,wind_offshore,offshore_c,capaConvUp,0
DE73,wind_offshore,offshore_c,capaConvUp,0
DE80,wind_offshore,offshore_c,capaConvUp,1.304347826
DE91,wind_offshore,offshore_c,capaConvUp,0
DE13,wind_offshore,offshore_c,capaConvUp,0
DE24,wind_offshore,offshore_c,capaConvUp,0
DE27,wind_offshore,offshore_c,capaConvUp,0
DE14,wind_offshore,offshore_c,capaConvUp,0
DE30,wind_offshore,offshore_c,capaConvUp,0
