timestep_3,technology_1,region_2,region_3,value,parameter
h0072,D_PHS,Germany_,,5.9551,stInflow
h0072,D_PHS,,FR,12.716,stInflow
h0072,D_PHS,,IT,15.102,stInflow
h0072,D_PHS,,NO,24.7,stInflow
h0072,D_PHS,,SE,4.98,stInflow
h0073,D_PHS,,AT,7.846,stInflow
h0073,D_PHS,,CH,10.39,stInflow
h0073,D_PHS,Germany_,,5.9551,stInflow
h0073,D_PHS,,FR,12.716,stInflow
h0073,D_PHS,,IT,15.102,stInflow
h0073,D_PHS,,NO,24.7,stInflow
h0073,D_PHS,,SE,4.98,stInflow
h0074,D_PHS,,AT,7.846,stInflow
h0074,D_PHS,,CH,10.39,stInflow
h0074,D_PHS,Germany_,,5.9551,stInflow
h0074,D_PHS,,FR,12.716,stInflow
h0074,D_PHS,,IT,15.102,stInflow
h0074,D_PHS,,NO,24.7,stInflow
h0074,D_PHS,,SE,4.98,stInflow
h0075,D_PHS,,AT,7.846,stInflow
h0075,D_PHS,,CH,10.39,stInflow
h0075,D_PHS,Germany_,,5.9551,stInflow
h0075,D_PHS,,FR,12.716,stInflow
h0075,D_PHS,,IT,15.102,stInflow
h0075,D_PHS,,NO,24.7,stInflow
h0075,D_PHS,,SE,4.98,stInflow
h0076,D_PHS,,AT,7.846,stInflow
h0076,D_PHS,,CH,10.39,stInflow
h0076,D_PHS,Germany_,,5.9551,stInflow
h0076,D_PHS,,FR,12.716,stInflow
h0076,D_PHS,,IT,15.102,stInflow
h0076,D_PHS,,NO,24.7,stInflow
h0076,D_PHS,,SE,4.98,stInflow
h0077,D_PHS,,AT,7.846,stInflow
h0077,D_PHS,,CH,10.39,stInflow
h0077,D_PHS,Germany_,,5.9551,stInflow
h0077,D_PHS,,FR,12.716,stInflow
h0077,D_PHS,,IT,15.102,stInflow
h0077,D_PHS,,NO,24.7,stInflow
h0077,D_PHS,,SE,4.98,stInflow
h0078,D_PHS,,AT,7.846,stInflow
h0078,D_PHS,,CH,10.39,stInflow
h0078,D_PHS,Germany_,,5.9551,stInflow
h0078,D_PHS,,FR,12.716,stInflow
