region_expansion,technology,constraint
DE < DEC0_,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEC0_, onshore_a] == 0.7702417644949934"
DE < DED2,wind_onshore < onshore_a,"100 capaConv[none, 2050, DED2, onshore_a] == 3.599247083498712"
DE < DED4,wind_onshore < onshore_a,"100 capaConv[none, 2050, DED4, onshore_a] == 2.1878935954987258"
DE < DED5,wind_onshore < onshore_a,"100 capaConv[none, 2050, DED5, onshore_a] == 0.4101554884978322"
DE < DEE0,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEE0, onshore_a] == 5.640276031497462"
DE < DEF0,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEF0, onshore_a] == 8.478651297499615"
DE < DEG0,wind_onshore < onshore_a,"100 capaConv[none, 2050, DEG0, onshore_a] == 3.264364806493992"
DE < DE11,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE11, onshore_b] == 2.7673233524916547"
DE < DE12,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE12, onshore_b] == 1.0745336854913217"
DE < DE13,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE13, onshore_b] == 2.4016902784924197"
DE < DE14,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE14, onshore_b] == 2.716222345494677"
DE < DE21,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE21, onshore_b] == 1.7062758154926285"
DE < DE22,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE22, onshore_b] == 5.784660399487373"
DE < DE23,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE23, onshore_b] == 2.8479538634920374"
DE < DE24,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE24, onshore_b] == 1.4668183304982982"
DE < DE25,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE25, onshore_b] == 1.615236773494564"
DE < DE26,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE26, onshore_b] == 2.529271410491738"
DE < DE27,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE27, onshore_b] == 6.716064298481913"
DE < DE30,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE30, onshore_b] == 0.02805589549781922"
DE < DE40,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE40, onshore_b] == 11.02657718049912"
DE < DE50,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE50, onshore_b] == 0.162409"
DE < DE60,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE60, onshore_b] == 0.03913183449824046"
DE < DE71,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE71, onshore_b] == 1.0573423344976187"
DE < DE72,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE72, onshore_b] == 0.7847050664934124"
DE < DE73,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE73, onshore_b] == 1.026613339493935"
DE < DE80,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE80, onshore_b] == 3.61854112849975"
DE < DE91,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE91, onshore_b] == 0.7840464744956134"
DE < DE92,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE92, onshore_b] == 4.828332870499946"
DE < DE93,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE93, onshore_b] == 3.6277285124985514"
DE < DE94,wind_onshore < onshore_b,"100 capaConv[none, 2050, DE94, onshore_b] == 5.7894058665004895"
DE < DEA1,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEA1, onshore_b] == 2.036450492499977"
DE < DEA2,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEA2, onshore_b] == 1.2284531284977476"
DE < DEA3,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEA3, onshore_b] == 0.4061790034987806"
DE < DEA4,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEA4, onshore_b] == 3.892994698499456"
DE < DEA5,wind_onshore < onshore_b,"100 capaConv[none, 2050, DEA5, onshore_b] == 1.8400799224990974"
