region_1,region_2,carrier_1,carrier_2,parameter,timestep_2,value
RO,RO,electricity,electricity_central,dem,d012,6.020826701124999
SE,SE,electricity,electricity_central,dem,d012,15.060829794583336
SI,SI,electricity,electricity_central,dem,d012,0.9179216114999997
SK,SK,electricity,electricity_central,dem,d012,2.068062842
UK,UK,electricity,electricity_central,dem,d012,34.644026006249995
EE,EE,electricity,electricity_central,dem,d012,0.8691476298333333
LT,LT,electricity,electricity_central,dem,d012,0.5114497863333334
LV,LV,electricity,electricity_central,dem,d012,0.7345568577500002
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d012,5.877341872833334
TR,TR,electricity,electricity_central,dem,d012,28.26395162708333
AT,AT,electricity,electricity_central,dem,d013,4.171327287166667
BE,BE,electricity,electricity_central,dem,d013,5.236354197583333
BG,BG,electricity,electricity_central,dem,d013,4.413275095958333
CH,CH,electricity,electricity_central,dem,d013,9.444230733208334
CZ,CZ,electricity,electricity_central,dem,d013,5.087530170958333
DK,DK,electricity,electricity_central,dem,d013,4.476084924375
ES,ES,electricity,electricity_central,dem,d013,25.5663188625
FI,FI,electricity,electricity_central,dem,d013,2.4723580481250003
FR,FR,electricity,electricity_central,dem,d013,62.3417427475
GR,GR,electricity,electricity_central,dem,d013,6.228944307708333
HR,HR,electricity,electricity_central,dem,d013,2.100194977833333
HU,HU,electricity,electricity_central,dem,d013,3.169782792750001
IE,IE,electricity,electricity_central,dem,d013,2.623684106916666
IT,IT,electricity,electricity_central,dem,d013,12.061488085750002
LU,LU,electricity,electricity_central,dem,d013,0.7467755747916668
NL,NL,electricity,electricity_central,dem,d013,7.176459818166667
NO,NO,electricity,electricity_central,dem,d013,14.454794379999997
PL,PL,electricity,electricity_central,dem,d013,15.11194099291667
PT,PT,electricity,electricity_central,dem,d013,4.538569328625
RO,RO,electricity,electricity_central,dem,d013,5.588604486333332
SE,SE,electricity,electricity_central,dem,d013,15.306870165000001
SI,SI,electricity,electricity_central,dem,d013,0.8964830348333335
SK,SK,electricity,electricity_central,dem,d013,2.026797480083333
UK,UK,electricity,electricity_central,dem,d013,34.8103157425
EE,EE,electricity,electricity_central,dem,d013,0.8610530858749996
LT,LT,electricity,electricity_central,dem,d013,0.5294926120833333
LV,LV,electricity,electricity_central,dem,d013,0.7368532091249999
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d013,6.076044531291668
TR,TR,electricity,electricity_central,dem,d013,25.490923305833334
AT,AT,electricity,electricity_central,dem,d014,5.129837124583333
BE,BE,electricity,electricity_central,dem,d014,6.046879868041667
BG,BG,electricity,electricity_central,dem,d014,4.63199357
CH,CH,electricity,electricity_central,dem,d014,10.997684513458337
CZ,CZ,electricity,electricity_central,dem,d014,5.999691529541667
DK,DK,electricity,electricity_central,dem,d014,5.112994117958333
ES,ES,electricity,electricity_central,dem,d014,30.65295587833333
FI,FI,electricity,electricity_central,dem,d014,2.5905472579999995
FR,FR,electricity,electricity_central,dem,d014,73.63615165791666
GR,GR,electricity,electricity_central,dem,d014,7.062925076458334
HR,HR,electricity,electricity_central,dem,d014,2.3217091219583335
HU,HU,electricity,electricity_central,dem,d014,3.613784781625
IE,IE,electricity,electricity_central,dem,d014,2.9355929156666662
IT,IT,electricity,electricity_central,dem,d014,15.264216937166664
LU,LU,electricity,electricity_central,dem,d014,0.8994097643333334
NL,NL,electricity,electricity_central,dem,d014,8.676077805875
NO,NO,electricity,electricity_central,dem,d014,15.674938429166664
PL,PL,electricity,electricity_central,dem,d014,18.172077599166663
PT,PT,electricity,electricity_central,dem,d014,5.4503178361666675
RO,RO,electricity,electricity_central,dem,d014,6.459105777166667
SE,SE,electricity,electricity_central,dem,d014,17.01713144416667
SI,SI,electricity,electricity_central,dem,d014,1.03014392325
SK,SK,electricity,electricity_central,dem,d014,2.262351796416666
UK,UK,electricity,electricity_central,dem,d014,39.70126445166667
EE,EE,electricity,electricity_central,dem,d014,0.920875313375
LT,LT,electricity,electricity_central,dem,d014,0.6002620497916666
LV,LV,electricity,electricity_central,dem,d014,0.8257679318749999
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d014,5.977074680166665
TR,TR,electricity,electricity_central,dem,d014,28.903851524166665
AT,AT,electricity,electricity_central,dem,d015,5.1461611705833326
BE,BE,electricity,electricity_central,dem,d015,6.098053229958334
BG,BG,electricity,electricity_central,dem,d015,4.577224224625
CH,CH,electricity,electricity_central,dem,d015,11.213943215500002
CZ,CZ,electricity,electricity_central,dem,d015,6.0852905005
DK,DK,electricity,electricity_central,dem,d015,5.102399279125
ES,ES,electricity,electricity_central,dem,d015,31.35041382041666
FI,FI,electricity,electricity_central,dem,d015,2.631465253416667
FR,FR,electricity,electricity_central,dem,d015,75.62534210708331
GR,GR,electricity,electricity_central,dem,d015,6.995526970125
HR,HR,electricity,electricity_central,dem,d015,2.264148610458334
HU,HU,electricity,electricity_central,dem,d015,3.653537025791666
IE,IE,electricity,electricity_central,dem,d015,3.01687757525
IT,IT,electricity,electricity_central,dem,d015,16.015418263333334
LU,LU,electricity,electricity_central,dem,d015,0.9451820536666666
NL,NL,electricity,electricity_central,dem,d015,8.800795971291667
NO,NO,electricity,electricity_central,dem,d015,15.814144735416667
PL,PL,electricity,electricity_central,dem,d015,18.450286218750005
PT,PT,electricity,electricity_central,dem,d015,5.7016225687499995
RO,RO,electricity,electricity_central,dem,d015,6.4797681074166675
SE,SE,electricity,electricity_central,dem,d015,16.70203991
SI,SI,electricity,electricity_central,dem,d015,1.050439447666667
SK,SK,electricity,electricity_central,dem,d015,2.268931810791667
UK,UK,electricity,electricity_central,dem,d015,40.275053735
EE,EE,electricity,electricity_central,dem,d015,0.9423532666666669
LT,LT,electricity,electricity_central,dem,d015,0.5875792956249998
LV,LV,electricity,electricity_central,dem,d015,0.8194912383750003
NONEU_Balkan,NONEU_Balkan,electricity,electricity_central,dem,d015,5.837020631375
TR,TR,electricity,electricity_central,dem,d015,28.628035933333337
AT,AT,electricity,electricity_central,dem,d016,5.181624536125
BE,BE,electricity,electricity_central,dem,d016,6.1635350053749995
BG,BG,electricity,electricity_central,dem,d016,4.4400137345
CH,CH,electricity,electricity_central,dem,d016,11.194258478333333
CZ,CZ,electricity,electricity_central,dem,d016,6.083749205208334
DK,DK,electricity,electricity_central,dem,d016,5.444340664125001
ES,ES,electricity,electricity_central,dem,d016,31.63603983083333
FI,FI,electricity,electricity_central,dem,d016,2.6881583094583337
FR,FR,electricity,electricity_central,dem,d016,76.76463858666666
GR,GR,electricity,electricity_central,dem,d016,6.9093914352083345
HR,HR,electricity,electricity_central,dem,d016,2.293430720541667
HU,HU,electricity,electricity_central,dem,d016,3.6700800749999996
IE,IE,electricity,electricity_central,dem,d016,3.032013086666666
IT,IT,electricity,electricity_central,dem,d016,16.269133434583335
LU,LU,electricity,electricity_central,dem,d016,0.865900316
NL,NL,electricity,electricity_central,dem,d016,8.870497820166667
NO,NO,electricity,electricity_central,dem,d016,15.911666230416664
