technology_1,region_1,parameter,timestep_2,value
rooftop,ES,avaConv,d012,0.058218299999999994
rooftop,FI,avaConv,d012,0.008343825000000001
rooftop,FR,avaConv,d012,0.024460799999999994
rooftop,GR,avaConv,d012,0.052354458333333326
rooftop,HR,avaConv,d012,0.06092534591666667
rooftop,HU,avaConv,d012,0.07033147916666667
rooftop,IE,avaConv,d012,0.014074258333333334
rooftop,IT,avaConv,d012,0.07065884583333333
rooftop,LU,avaConv,d012,0.028775220833333337
rooftop,NL,avaConv,d012,0.03657838333333333
rooftop,NO,avaConv,d012,0.02627858333333333
rooftop,PL,avaConv,d012,0.010268854166666667
rooftop,PT,avaConv,d012,0.053407025
rooftop,RO,avaConv,d012,0.05844025833333335
rooftop,SE,avaConv,d012,0.011441150000000002
rooftop,SI,avaConv,d012,0.0680386875
rooftop,SK,avaConv,d012,0.03906495833333334
rooftop,UK,avaConv,d012,0.013854779166666666
rooftop,EE,avaConv,d012,0.02193041666666667
rooftop,LT,avaConv,d012,0.01900829583333333
rooftop,LV,avaConv,d012,0.016963625
rooftop,NONEU_Balkan,avaConv,d012,0.046163035166666665
rooftop,TR,avaConv,d012,0.052354458333333326
rooftop,AT,avaConv,d013,0.029614433333333332
rooftop,BE,avaConv,d013,0.04305314999999999
rooftop,BG,avaConv,d013,0.09943287083333334
rooftop,CH,avaConv,d013,0.06944679583333334
rooftop,CZ,avaConv,d013,0.03282585833333333
rooftop,DK,avaConv,d013,0.017213466666666666
rooftop,ES,avaConv,d013,0.058887470833333344
rooftop,FI,avaConv,d013,0.0032536000000000006
rooftop,FR,avaConv,d013,0.02746059166666667
rooftop,GR,avaConv,d013,0.09284350833333334
rooftop,HR,avaConv,d013,0.030220534999999996
rooftop,HU,avaConv,d013,0.02920822916666667
rooftop,IE,avaConv,d013,0.009552229166666667
rooftop,IT,avaConv,d013,0.0343527625
rooftop,LU,avaConv,d013,0.048770720833333336
rooftop,NL,avaConv,d013,0.04790065000000001
rooftop,NO,avaConv,d013,0.028170479166666665
rooftop,PL,avaConv,d013,0.031847725
rooftop,PT,avaConv,d013,0.059995775
rooftop,RO,avaConv,d013,0.07338429583333334
rooftop,SE,avaConv,d013,0.014043195833333334
rooftop,SI,avaConv,d013,0.008247983333333334
rooftop,SK,avaConv,d013,0.0478680125
rooftop,UK,avaConv,d013,0.017876220833333335
rooftop,EE,avaConv,d013,0.010107504166666668
rooftop,LT,avaConv,d013,0.0253955625
rooftop,LV,avaConv,d013,0.0169962625
rooftop,NONEU_Balkan,avaConv,d013,0.08126042262500001
rooftop,TR,avaConv,d013,0.09284350833333334
rooftop,AT,avaConv,d014,0.016486166666666666
rooftop,BE,avaConv,d014,0.03575640833333333
rooftop,BG,avaConv,d014,0.052856737499999994
rooftop,CH,avaConv,d014,0.04574322083333333
rooftop,CZ,avaConv,d014,0.008820875
rooftop,DK,avaConv,d014,0.012448362500000002
rooftop,ES,avaConv,d014,0.07044158333333335
rooftop,FI,avaConv,d014,0.004289425
rooftop,FR,avaConv,d014,0.046552916666666666
rooftop,GR,avaConv,d014,0.059615937499999994
rooftop,HR,avaConv,d014,0.023342311083333334
rooftop,HU,avaConv,d014,0.025116699999999995
rooftop,IE,avaConv,d014,0.03288089583333333
rooftop,IT,avaConv,d014,0.03762284166666666
rooftop,LU,avaConv,d014,0.043749562500000005
rooftop,NL,avaConv,d014,0.03027756666666667
rooftop,NO,avaConv,d014,0.018219716666666667
rooftop,PL,avaConv,d014,0.03849104583333334
rooftop,PT,avaConv,d014,0.08714022916666668
rooftop,RO,avaConv,d014,0.04737212083333334
rooftop,SE,avaConv,d014,0.013610304166666668
rooftop,SI,avaConv,d014,0.012377633333333332
rooftop,SK,avaConv,d014,0.017561629166666665
rooftop,UK,avaConv,d014,0.009727025
rooftop,EE,avaConv,d014,0.008632341666666666
rooftop,LT,avaConv,d014,0.025685333333333327
rooftop,LV,avaConv,d014,0.01682146666666667
rooftop,NONEU_Balkan,avaConv,d014,0.049297530166666666
rooftop,TR,avaConv,d014,0.059615937499999994
rooftop,AT,avaConv,d015,0.044850195833333335
rooftop,BE,avaConv,d015,0.019258225000000004
rooftop,BG,avaConv,d015,0.0250231625
rooftop,CH,avaConv,d015,0.0330987125
rooftop,CZ,avaConv,d015,0.03448655
rooftop,DK,avaConv,d015,0.0156748375
rooftop,ES,avaConv,d015,0.06049437916666666
rooftop,FI,avaConv,d015,0.0038800416666666666
rooftop,FR,avaConv,d015,0.0367779125
rooftop,GR,avaConv,d015,0.0333459875
rooftop,HR,avaConv,d015,0.029169218791666663
rooftop,HU,avaConv,d015,0.019129249999999997
rooftop,IE,avaConv,d015,0.03026158333333333
rooftop,IT,avaConv,d015,0.03898962083333333
rooftop,LU,avaConv,d015,0.015293337499999999
rooftop,NL,avaConv,d015,0.010929741666666666
rooftop,NO,avaConv,d015,0.012572554166666668
rooftop,PL,avaConv,d015,0.036737283333333336
rooftop,PT,avaConv,d015,0.037160520833333335
rooftop,RO,avaConv,d015,0.024326283333333334
rooftop,SE,avaConv,d015,0.0034386333333333336
rooftop,SI,avaConv,d015,0.0291641
rooftop,SK,avaConv,d015,0.026955891666666666
rooftop,UK,avaConv,d015,0.025555599999999998
rooftop,EE,avaConv,d015,0.0046780125
rooftop,LT,avaConv,d015,0.0090832
rooftop,LV,avaConv,d015,0.005014245833333333
rooftop,NONEU_Balkan,avaConv,d015,0.028327001666666667
rooftop,TR,avaConv,d015,0.0333459875
rooftop,AT,avaConv,d016,0.029142254166666662
rooftop,BE,avaConv,d016,0.039182908333333336
rooftop,BG,avaConv,d016,0.04717889166666667
rooftop,CH,avaConv,d016,0.04702737083333333
rooftop,CZ,avaConv,d016,0.025218725
rooftop,DK,avaConv,d016,0.022275079166666666
rooftop,ES,avaConv,d016,0.023392366666666668
rooftop,FI,avaConv,d016,0.004605533333333333
rooftop,FR,avaConv,d016,0.04778771666666667
rooftop,GR,avaConv,d016,0.0634955125
rooftop,HR,avaConv,d016,0.03150407245833333
rooftop,HU,avaConv,d016,0.03219285416666667
rooftop,IE,avaConv,d016,0.0029803374999999997
rooftop,IT,avaConv,d016,0.040542191666666665
rooftop,LU,avaConv,d016,0.028020941666666663
rooftop,NL,avaConv,d016,0.043889533333333335
rooftop,NO,avaConv,d016,0.014534041666666666
rooftop,PL,avaConv,d016,0.017910316666666665
rooftop,PT,avaConv,d016,0.018420441666666666
rooftop,RO,avaConv,d016,0.021833583333333326
rooftop,SE,avaConv,d016,0.007618216666666667
rooftop,SI,avaConv,d016,0.02355969583333334
rooftop,SK,avaConv,d016,0.02847667083333333
