region_1,region_2,carrier_1,parameter,timestep_2,value
CH,CH,heatResidental,dem,d016,2.4256293552916666
CZ,CZ,heatResidental,dem,d016,3.9560245499583337
DK,DK,heatResidental,dem,d016,3.6222742025
ES,ES,heatResidental,dem,d016,14.591279834583332
FI,FI,heatResidental,dem,d016,11.356689184374998
FR,FR,heatResidental,dem,d016,37.355995252916664
GR,GR,heatResidental,dem,d016,3.969850542625
HR,HR,heatResidental,dem,d016,0.8734166708333332
HU,HU,heatResidental,dem,d016,3.0901474955833326
IE,IE,heatResidental,dem,d016,2.2445153874583332
IT,IT,heatResidental,dem,d016,26.849653976666662
LU,LU,heatResidental,dem,d016,0.299644603875
NL,NL,heatResidental,dem,d016,9.32691937716667
NO,NO,heatResidental,dem,d016,1.7663330554166663
PL,PL,heatResidental,dem,d016,10.153939161458334
PT,PT,heatResidental,dem,d016,4.2275128874583325
RO,RO,heatResidental,dem,d016,1.947793895958333
SE,SE,heatResidental,dem,d016,9.770997175291667
SI,SI,heatResidental,dem,d016,0.8740221903333336
SK,SK,heatResidental,dem,d016,0.7238757804583332
UK,UK,heatResidental,dem,d016,24.282604774166668
EE,EE,heatResidental,dem,d016,0.7835074997499999
LT,LT,heatResidental,dem,d016,1.0959289945416664
LV,LV,heatResidental,dem,d016,0.7847959772916665
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d016,1.6101190402916667
TR,TR,heatResidental,dem,d016,19.86395031541667
AT,AT,heatResidental,dem,d017,5.860088929875
BE,BE,heatResidental,dem,d017,2.7383751519166672
BG,BG,heatResidental,dem,d017,1.4916905775833333
CH,CH,heatResidental,dem,d017,2.4264989394166667
CZ,CZ,heatResidental,dem,d017,3.9575526852500005
DK,DK,heatResidental,dem,d017,3.6203126347083336
ES,ES,heatResidental,dem,d017,14.576461174583335
FI,FI,heatResidental,dem,d017,11.360662188166666
FR,FR,heatResidental,dem,d017,37.331807840416666
GR,GR,heatResidental,dem,d017,4.030817663624999
HR,HR,heatResidental,dem,d017,0.8730818742083333
HU,HU,heatResidental,dem,d017,3.0854842914583327
IE,IE,heatResidental,dem,d017,2.24563326725
IT,IT,heatResidental,dem,d017,27.8708333955
LU,LU,heatResidental,dem,d017,0.2995228463333333
NL,NL,heatResidental,dem,d017,9.306908687458334
NO,NO,heatResidental,dem,d017,1.767799137416666
PL,PL,heatResidental,dem,d017,10.160109215666667
PT,PT,heatResidental,dem,d017,4.279871140666668
RO,RO,heatResidental,dem,d017,1.9456835240416668
SE,SE,heatResidental,dem,d017,9.776638034000001
SI,SI,heatResidental,dem,d017,0.8733846906666666
SK,SK,heatResidental,dem,d017,0.7237460555416667
UK,UK,heatResidental,dem,d017,24.291630390416667
EE,EE,heatResidental,dem,d017,0.7826135955000001
LT,LT,heatResidental,dem,d017,1.0947348994583335
LV,LV,heatResidental,dem,d017,0.7835971297916665
NONEU_Balkan,NONEU_Balkan,heatResidental,dem,d017,1.609360377291667
TR,TR,heatResidental,dem,d017,20.158316358333334
AT,AT,heatResidental,dem,d018,5.87327541675
BE,BE,heatResidental,dem,d018,2.733467946541666
BG,BG,heatResidental,dem,d018,1.4911986398333335
CH,CH,heatResidental,dem,d018,2.4279748460833326
CZ,CZ,heatResidental,dem,d018,3.9576923269999997
