timestep_4,technology_1,region_1,parameter,value
h0088,pumpedHydro,NO,stInflow,24.7
h0088,pumpedHydro,SE,stInflow,4.98
h0089,pumpedHydro,AT,stInflow,7.846
h0089,pumpedHydro,CH,stInflow,10.39
h0089,pumpedHydro,FR,stInflow,12.716
h0089,pumpedHydro,IT,stInflow,15.102
h0089,pumpedHydro,NO,stInflow,24.7
h0089,pumpedHydro,SE,stInflow,4.98
h0090,pumpedHydro,AT,stInflow,7.846
h0090,pumpedHydro,CH,stInflow,10.39
h0090,pumpedHydro,FR,stInflow,12.716
h0090,pumpedHydro,IT,stInflow,15.102
h0090,pumpedHydro,NO,stInflow,24.7
h0090,pumpedHydro,SE,stInflow,4.98
h0091,pumpedHydro,AT,stInflow,7.846
h0091,pumpedHydro,CH,stInflow,10.39
h0091,pumpedHydro,FR,stInflow,12.716
h0091,pumpedHydro,IT,stInflow,15.102
h0091,pumpedHydro,NO,stInflow,24.7
h0091,pumpedHydro,SE,stInflow,4.98
h0092,pumpedHydro,AT,stInflow,7.846
h0092,pumpedHydro,CH,stInflow,10.39
h0092,pumpedHydro,FR,stInflow,12.716
h0092,pumpedHydro,IT,stInflow,15.102
h0092,pumpedHydro,NO,stInflow,24.7
h0092,pumpedHydro,SE,stInflow,4.98
h0093,pumpedHydro,AT,stInflow,7.846
h0093,pumpedHydro,CH,stInflow,10.39
h0093,pumpedHydro,FR,stInflow,12.716
h0093,pumpedHydro,IT,stInflow,15.102
h0093,pumpedHydro,NO,stInflow,24.7
h0093,pumpedHydro,SE,stInflow,4.98
h0094,pumpedHydro,AT,stInflow,7.846
h0094,pumpedHydro,CH,stInflow,10.39
h0094,pumpedHydro,FR,stInflow,12.716
h0094,pumpedHydro,IT,stInflow,15.102
h0094,pumpedHydro,NO,stInflow,24.7
h0094,pumpedHydro,SE,stInflow,4.98
h0095,pumpedHydro,AT,stInflow,7.846
h0095,pumpedHydro,CH,stInflow,10.39
h0095,pumpedHydro,FR,stInflow,12.716
h0095,pumpedHydro,IT,stInflow,15.102
h0095,pumpedHydro,NO,stInflow,24.7
h0095,pumpedHydro,SE,stInflow,4.98
h0096,pumpedHydro,AT,stInflow,7.846
h0096,pumpedHydro,CH,stInflow,10.39
h0096,pumpedHydro,FR,stInflow,12.716
h0096,pumpedHydro,IT,stInflow,15.102
h0096,pumpedHydro,NO,stInflow,24.7
h0096,pumpedHydro,SE,stInflow,4.98
h0097,pumpedHydro,AT,stInflow,7.846
h0097,pumpedHydro,CH,stInflow,10.39
