technology_1,region_1,region_2,parameter,timestep_2,value
pumpedHydro,DE,DED2,stInflow,d021,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d021,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d021,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d021,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d021,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d021,0.077229545
pumpedHydro,DE,DE23,stInflow,d021,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d021,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d021,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d021,0.131992313
pumpedHydro,DE,DE13,stInflow,d021,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d021,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d022,0.042265624
pumpedHydro,DE,DEA5,stInflow,d022,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d022,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d022,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d022,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d022,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d022,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d022,0.077229545
pumpedHydro,DE,DE23,stInflow,d022,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d022,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d022,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d022,0.131992313
pumpedHydro,DE,DE13,stInflow,d022,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d022,0.07863371800000003
pumpedHydro,DE,DE12,stInflow,d023,0.042265624
pumpedHydro,DE,DEA5,stInflow,d023,0.1797342139999999
pumpedHydro,DE,DED2,stInflow,d023,0.11092971000000001
pumpedHydro,DE,DED4,stInflow,d023,0.5644777649999999
pumpedHydro,DE,DEF0,stInflow,d023,0.07498286699999995
pumpedHydro,DE,DEG0,stInflow,d023,1.7566211039999997
pumpedHydro,DE,DEB2,stInflow,d023,0.6494302639999998
pumpedHydro,DE,DE21,stInflow,d023,0.077229545
pumpedHydro,DE,DE23,stInflow,d023,0.05616694199999996
pumpedHydro,DE,DE26,stInflow,d023,0.16119912299999994
pumpedHydro,DE,DE73,stInflow,d023,0.6123600830000003
pumpedHydro,DE,DE91,stInflow,d023,0.131992313
pumpedHydro,DE,DE13,stInflow,d023,1.4590767299999998
pumpedHydro,DE,DE14,stInflow,d023,0.07863371800000003
