technology_1,technology_2,region_1,parameter,timestep_2,value
openspace,openspace_a,HR,avaConv,d010,0.059619427083333336
openspace,openspace_a,HU,avaConv,d010,0.021213958333333335
openspace,openspace_a,IE,avaConv,d010,0.026271708333333334
openspace,openspace_a,IT,avaConv,d010,0.049074291666666665
openspace,openspace_a,LU,avaConv,d010,0.007621833333333334
openspace,openspace_a,NL,avaConv,d010,0.03632520833333333
openspace,openspace_a,NO,avaConv,d010,0.02776466666666666
openspace,openspace_a,PL,avaConv,d010,0.012652749999999999
openspace,openspace_a,PT,avaConv,d010,0.08732679166666664
openspace,openspace_a,RO,avaConv,d010,0.042478958333333344
openspace,openspace_a,SE,avaConv,d010,0.010286666666666668
openspace,openspace_a,SI,avaConv,d010,0.03939479166666667
openspace,openspace_a,SK,avaConv,d010,0.03266154166666666
openspace,openspace_a,UK,avaConv,d010,0.015664916666666667
openspace,openspace_a,EE,avaConv,d010,0.02313495833333333
openspace,openspace_a,LT,avaConv,d010,0.0032022083333333334
openspace,openspace_a,LV,avaConv,d010,0.006084166666666667
openspace,openspace_a,NONEU_Balkan,avaConv,d010,0.10074214858333334
openspace,openspace_a,TR,avaConv,d010,0.13024091666666668
openspace,openspace_a,AT,avaConv,d011,0.06639708333333334
openspace,openspace_a,BE,avaConv,d011,0.04620183333333333
openspace,openspace_a,BG,avaConv,d011,0.03720291666666667
openspace,openspace_a,CH,avaConv,d011,0.054454916666666665
openspace,openspace_a,CZ,avaConv,d011,0.04800366666666667
openspace,openspace_a,DK,avaConv,d011,0.02011445833333333
openspace,openspace_a,ES,avaConv,d011,0.11095979166666668
openspace,openspace_a,FI,avaConv,d011,0.010216833333333333
openspace,openspace_a,FR,avaConv,d011,0.06410783333333332
openspace,openspace_a,GR,avaConv,d011,0.06854316666666667
openspace,openspace_a,HR,avaConv,d011,0.060320760416666674
openspace,openspace_a,HU,avaConv,d011,0.034300625
openspace,openspace_a,IE,avaConv,d011,0.018220666666666663
openspace,openspace_a,IT,avaConv,d011,0.07747308333333335
