technology_1,technology_2,parameter,timestep_2,value
wind_offshore,offshore_a,avaConv,d262,0.3360749504583333
wind_offshore,offshore_a,avaConv,d263,0.09061803645833333
wind_offshore,offshore_a,avaConv,d264,0.11144494241666665
wind_offshore,offshore_a,avaConv,d265,0.1015497245
wind_offshore,offshore_a,avaConv,d266,0.18720746295833335
wind_offshore,offshore_a,avaConv,d267,0.26190352325
wind_offshore,offshore_a,avaConv,d268,0.3740566583333333
wind_offshore,offshore_a,avaConv,d269,0.5445631039583333
wind_offshore,offshore_a,avaConv,d270,0.08914705975000002
wind_offshore,offshore_a,avaConv,d271,0.42064534466666664
wind_offshore,offshore_a,avaConv,d272,0.8023031650833334
wind_offshore,offshore_a,avaConv,d273,0.8073728082916666
wind_offshore,offshore_a,avaConv,d274,0.7148111249166668
wind_offshore,offshore_a,avaConv,d275,0.20960365016666668
wind_offshore,offshore_a,avaConv,d276,0.23066533195833339
wind_offshore,offshore_a,avaConv,d277,0.6082907368333332
wind_offshore,offshore_a,avaConv,d278,0.6876356942916667
wind_offshore,offshore_a,avaConv,d279,0.6866210441666666
wind_offshore,offshore_a,avaConv,d280,0.6946738462083334
wind_offshore,offshore_a,avaConv,d281,0.5151620156666666
wind_offshore,offshore_a,avaConv,d282,0.45704584854166663
wind_offshore,offshore_a,avaConv,d283,0.37379258075
wind_offshore,offshore_a,avaConv,d284,0.2972597409583333
wind_offshore,offshore_a,avaConv,d285,0.7387231898750001
wind_offshore,offshore_a,avaConv,d286,0.7544607558750002
wind_offshore,offshore_a,avaConv,d287,0.7361393194583336
wind_offshore,offshore_a,avaConv,d288,0.8047642620833334
